GeneName	SRR309133	SRR309134	SRR309135	SRR309136	SRR309137	SRR309138	SRR309139	SRR309140	SRR309141	SRR309142	SRR309143	SRR309144
A1BG	7	8	37	35	73	102	58	45	76	78	48	57
A1BG-AS1	2	3	11	8	52	67	51	37	50	72	42	35
A1CF	0	0	0	0	0	0	0	1	0	1	0	1
A2M	245	465	751	744	2356	3031	1780	1681	1244	1242	1432	1411
A2M-AS1	29	59	95	150	227	278	151	138	189	189	146	138
A2ML1	12	15	26	22	48	69	54	63	8	16	27	17
A2MP1	0	0	0	3	4	1	0	1	1	1	0	1
A3GALT2	0	0	1	0	0	1	0	0	2	1	1	0
A4GALT	0	2	23	29	53	76	24	39	26	29	23	16
A4GNT	0	2	1	1	2	0	0	0	0	0	0	1
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	40	83	99	101	257	364	189	194	196	176	255	270
AACS	36	84	107	127	467	549	695	624	775	744	746	676
AACSP1	0	0	0	0	0	0	1	0	0	5	2	1
AADAC	0	0	0	0	0	0	1	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	1	1	0
AADACP1	0	0	0	0	0	1	0	0	0	0	0	0
AADAT	22	56	77	65	53	74	90	75	72	73	85	85
AAGAB	46	88	150	142	212	301	377	382	570	531	516	468
AAK1	128	246	481	540	692	992	1330	1237	1649	1567	1581	1490
AAMDC	21	38	50	36	73	106	72	64	49	50	83	84
AAMP	98	160	205	250	833	1070	622	548	862	918	941	934
AANAT	0	0	3	1	16	14	4	6	8	8	5	5
AAR2	28	50	63	72	161	231	138	133	151	139	168	172
AARD	0	2	3	0	11	12	3	8	10	12	10	11
AARS1	256	549	538	607	2200	2660	2197	2125	3319	3277	3282	3153
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	20	42	72	64	211	256	127	144	161	167	199	151
AARSD1	0	0	0	0	0	1	0	0	0	0	1	1
AARSD1P1	0	2	1	0	2	2	3	1	3	2	4	3
AASDH	18	32	56	38	63	71	77	63	77	81	67	63
AASDHPPT	51	90	197	216	167	219	340	292	418	405	422	440
AASS	14	83	45	27	53	49	67	71	18	15	59	54
AATBC	2	2	2	3	8	21	6	8	12	10	9	8
AATF	0	0	0	0	0	0	0	0	0	0	0	0
AATK	540	1044	646	656	1586	2078	1375	1388	1597	1559	2178	2195
ABALON	30	62	55	72	208	275	153	144	153	182	234	222
ABAT	349	720	1009	956	1503	2014	1857	1887	2105	2089	2288	2217
ABCA1	53	134	151	137	104	125	95	102	27	28	66	64
ABCA10	0	5	9	3	8	9	23	16	26	30	36	30
